"2021/03/13-17:43 [main] INFO  me.ahn.management.ManagementApplication- Starting ManagementApplication on DESKTOP-D88F0GM with PID 16680 (D:\project\ahn\management\target\classes started by Administrator in D:\project\ahn\management)
""2021/03/13-17:48 [https-jsse-nio-443-exec-10] INFO  me.ahn.management.util.TokenUtil- 正在创建Token的用户>>>>>>>>>>TB_USER_INFO(USER_SEQ=4, OPENID=null, UNIONID=null, USERNAME=asdf, PASSWORD=null, ROLE_NO=01, ROLE=ROLE_USER, USE_YN=1, REALNAME=sadf, COMPANY=, COMPANY_TYPE=, DEVICE_SERIAL=null, DEVICE_MODEL=null, DEVICE_COLOR=null, PHONE=, EMAIL=, SEX=, BIRTHDAY=, WECHAT=null, QQ=null, PROVINCE_CODE=null, CITY_CODE=null, DISTRICT_CODE=null, ADDRESS=null, QUESTION=null, ANSWER=null, IMAGE_PHOTO=null, OPTION01=null, OPTION02=null, OPTION03=null, OPTION04=null, OPTION05=null, CREATETIME=2021-01-08 14:35:09, UPDATETIME=2021-03-11 22:03:33, ORDER_COUNT=null, START_DATE=, END_DATE=, RN=0, PAGE_NO=0, START_ROW_POSITION=0, PAGE_ROW_COUNT=0, ALL_COUNT=0, PAGE_NUM=0, PAGE_SIZE=15, ERR_CD=, ERR_MSG=, SESSION_ID=, IP_ADDR=, USER_AGENT=, REFERER=)
""2021/03/13-17:48 [https-jsse-nio-443-exec-10] INFO  me.ahn.management.util.TokenUtil-  用户[4] 创建Token>>>>>>>>>>eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJST0xFIjoiUk9MRV9VU0VSIiwiYXVkIjoiNCIsIlVTRVJOQU1FIjoiYXNkZiIsImV4cCI6MTYxNTYzMjUwMX0.qXjCwnpFiOAOxhMTWHY3HJQeln7MnNPU9iiNoRG1lk4
""2021/03/13-17:55 [https-jsse-nio-443-exec-4] INFO  me.ahn.management.service.impl.OrderServiceImpl- 0:::CartVO(cartProductVOList=[CartProductVO(SEQ=null, USER_SEQ=4, PRODUCT_SEQ=51, ATTRIBUTE=01, SPEC_SEQ=28, QUANTITY=7, PRODUCT_NAME=1111, PRODUCT_SUBTITLE=null, MAIN_IMAGE=https://localhost/files/files\\20210208\\20210208194118_5935472363.png, PRICE=10.00, PRODUCT_STATUS=null, PRODUCT_TOTAL_PRICE=null, PRODUCT_STOCK=null, PRODUCT_CHECKED=null, START_DATE=, END_DATE=, RN=0, PAGE_NO=0, START_ROW_POSITION=0, PAGE_ROW_COUNT=0, ALL_COUNT=0, PAGE_NUM=0, PAGE_SIZE=15, ERR_CD=, ERR_MSG=, SESSION_ID=, IP_ADDR=, USER_AGENT=, REFERER=)], USER_SEQ=4, SHIPPING_SEQ=4, ATTRIBUTE=null, CART_TOTAL_PRICE=50, ALL_CHECKED=null, IMAGE_HOST=null, COMMENT=, START_DATE=, END_DATE=, RN=0, PAGE_NO=0, START_ROW_POSITION=0, PAGE_ROW_COUNT=0, ALL_COUNT=0, PAGE_NUM=0, PAGE_SIZE=15, ERR_CD=, ERR_MSG=, SESSION_ID=, IP_ADDR=, USER_AGENT=, REFERER=)
""2021/03/13-17:55 [https-jsse-nio-443-exec-4] INFO  me.ahn.management.service.impl.OrderServiceImpl- TB_ORDER_ITEM(ITEM_SEQ=null, USER_SEQ=4, ORDER_NO=null, PRODUCT_SEQ=51, SPEC_SEQ=28, ATTRIBUTE=01, PRODUCT_NAME=1111, PRODUCT_IMAGE=https://localhost/files/files\\20210208\\20210208194118_5935472363.png, CURRENT_UNIT_PRICE=10.00, QTY=7, TOTAL_PRICE=70.00, OPTION01=null, OPTION02=null, OPTION03=null, OPTION04=null, OPTION05=null, CREATETIME=null, UPDATETIME=null, tbSpec=null, START_DATE=, END_DATE=, RN=0, PAGE_NO=0, START_ROW_POSITION=0, PAGE_ROW_COUNT=0, ALL_COUNT=0, PAGE_NUM=0, PAGE_SIZE=15, ERR_CD=, ERR_MSG=, SESSION_ID=, IP_ADDR=, USER_AGENT=, REFERER=)
""2021/03/13-17:55 [https-jsse-nio-443-exec-4] INFO  me.ahn.management.service.impl.OrderServiceImpl- 1:::51--28
""2021/03/13-17:55 [https-jsse-nio-443-exec-4] INFO  me.ahn.management.service.impl.OrderServiceImpl- 2:::70.0
""2021/03/13-17:56 [https-jsse-nio-443-exec-8] INFO  me.ahn.management.controller.portal.OrderMiniappController- {nonce_str=0JesGBPc9aYFmlOrLada9BXzzDofL99F, out_trade_no=20210313175557691000, openid=oRKQM43bOIJtWX_0fZ3wkQxPnYxE, appid=wx04b14303298c1e54, total_fee=21000, sign=4D0F42AE63D695A73476A1F1581B5138, trade_type=JSAPI, mch_id=1602938470, body=Stronghold咖啡豆产品, notify_url=https://strongholdcoffeemall.cn/, spbill_create_ip=192.168.1.102}
""2021/03/13-17:56 [https-jsse-nio-443-exec-8] INFO  wxpay java sdk- report worker num: 6
""2021/03/13-17:56 [https-jsse-nio-443-exec-8] INFO  wxpay java sdk- report v1,WXPaySDK/3.0.9,L0IqosUn1BVH07PQNMMnKufograG4xYk,1615629369,536,api.mch.weixin.qq.com,false,6000,8000,0,0,0,EA2D72EEFA2AD386D39AF331D1E1BA9A798BA07CA17D1163DF879C6F657BEBF0
""2021/03/13-17:56 [pool-2-thread-1] INFO  wxpay java sdk- get first report msg: v1,WXPaySDK/3.0.9,L0IqosUn1BVH07PQNMMnKufograG4xYk,1615629369,536,api.mch.weixin.qq.com,false,6000,8000,0,0,0,EA2D72EEFA2AD386D39AF331D1E1BA9A798BA07CA17D1163DF879C6F657BEBF0
""2021/03/13-17:56 [pool-2-thread-1] INFO  wxpay java sdk- try get remain report msg
""2021/03/13-18:20 [main] INFO  me.ahn.management.ManagementApplication- Starting ManagementApplication on DESKTOP-D88F0GM with PID 6420 (D:\project\ahn\management\target\classes started by Administrator in D:\project\ahn\management)
""2021/03/13-18:20 [main] INFO  me.ahn.management.ManagementApplication- No active profile set, falling back to default profiles: default
""2021/03/13-18:20 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- No MyBatis mapper was found in '[me.ahn.management]' package. Please check your configuration.
""2021/03/13-18:20 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 443 (https) 80 (http)
""2021/03/13-18:20 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
""2021/03/13-18:20 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet engine: [Apache Tomcat/9.0.35]
""2021/03/13-18:20 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
""2021/03/13-18:20 [main] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 1544 ms
""2021/03/13-18:20 [main] INFO  com.zaxxer.hikari.HikariDataSource- HikariPool-1 - Starting...
""2021/03/13-18:20 [main] WARN  com.zaxxer.hikari.util.DriverDataSource- Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2021/03/13-18:20 [main] INFO  com.zaxxer.hikari.HikariDataSource- HikariPool-1 - Start completed.
""2021/03/13-18:20 [main] INFO  me.ahn.management.config.DatabaseConfig- datasource:>>>>>>HikariDataSource (HikariPool-1)
""2021/03/13-18:20 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
""2021/03/13-18:20 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 443 (https) 80 (http) with context path ''
""2021/03/13-18:20 [main] INFO  me.ahn.management.ManagementApplication- Started ManagementApplication in 4.493 seconds (JVM running for 6.609)
""2021/03/13-18:21 [https-jsse-nio-443-exec-6] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021/03/13-18:21 [https-jsse-nio-443-exec-6] INFO  org.springframework.web.servlet.DispatcherServlet- Initializing Servlet 'dispatcherServlet'
""2021/03/13-18:21 [https-jsse-nio-443-exec-6] INFO  org.springframework.web.servlet.DispatcherServlet- Completed initialization in 5 ms
""2021/03/13-18:21 [https-jsse-nio-443-exec-3] INFO  me.ahn.management.util.TokenUtil- 正在创建Token的用户>>>>>>>>>>TB_USER_INFO(USER_SEQ=4, OPENID=null, UNIONID=null, USERNAME=asdf, PASSWORD=null, ROLE_NO=01, ROLE=ROLE_USER, USE_YN=1, REALNAME=sadf, COMPANY=, COMPANY_TYPE=, DEVICE_SERIAL=null, DEVICE_MODEL=null, DEVICE_COLOR=null, PHONE=, EMAIL=, SEX=, BIRTHDAY=, WECHAT=null, QQ=null, PROVINCE_CODE=null, CITY_CODE=null, DISTRICT_CODE=null, ADDRESS=null, QUESTION=null, ANSWER=null, IMAGE_PHOTO=null, OPTION01=null, OPTION02=null, OPTION03=null, OPTION04=null, OPTION05=null, CREATETIME=2021-01-08 14:35:09, UPDATETIME=2021-03-11 22:03:33, ORDER_COUNT=null, START_DATE=, END_DATE=, RN=0, PAGE_NO=0, START_ROW_POSITION=0, PAGE_ROW_COUNT=0, ALL_COUNT=0, PAGE_NUM=0, PAGE_SIZE=15, ERR_CD=, ERR_MSG=, SESSION_ID=, IP_ADDR=, USER_AGENT=, REFERER=)
""2021/03/13-18:21 [https-jsse-nio-443-exec-3] INFO  me.ahn.management.util.TokenUtil-  用户[4] 创建Token>>>>>>>>>>eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJST0xFIjoiUk9MRV9VU0VSIiwiYXVkIjoiNCIsIlVTRVJOQU1FIjoiYXNkZiIsImV4cCI6MTYxNTYzNDUwNn0.aHhk062edzlx6TErQJQ8wF5iFN_J6mk1Bx1QZ4xB8IU
"
